Category,Query,Answer
Governance,How do you governance control requirement 1?,"We maintain documented governance processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
IAM,What is your approach to iam control requirement 2?,"We maintain documented iam processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Cloud Security,Describe how you cloud security control requirement 3?,"Cloud resources are protected using least privilege IAM, network segmentation, secure configuration baselines, continuous monitoring, vulnerability management, and infrastructure-as-code reviews."
AWS Controls,Can you explain how you aws controls control requirement 4?,"AWS security services such as IAM, KMS, CloudTrail, Config, GuardDuty, Security Hub, WAF, Shield, and VPC controls are used where appropriate to protect workloads and monitor compliance."
Category,How do you encryption control requirement 5?,Sensitive data is encrypted at rest using AES-256 and in transit using TLS 1.2 or higher. Encryption keys are managed through a centralized KMS with strict access controls and auditing.
BYOK,What is your approach to byok control requirement 6?,"Customers may use Customer Managed Keys (CMKs) through cloud KMS where supported. Data encryption keys are wrapped with the customer-managed key, and key rotation follows the cloud provider's versioning model."
Category,Describe how you tenant isolation control requirement 7?,"Customer data is logically segregated using tenant identifiers enforced at the application, API, and database layers. Cross-tenant access is prevented through authorization checks. Dedicated physical environments can be provided for customers with strict isolation requirements, subject to commercial agreement."
Web Security,Can you explain how you web security control requirement 8?,"We maintain documented web security processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
API Security,How do you api security control requirement 9?,"We maintain documented api security processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Network Security,What is your approach to network security control requirement 10?,"We maintain documented network security processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
BCP,Describe how you bcp control requirement 11?,"We maintain documented bcp processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
DR,Can you explain how you dr control requirement 12?,"We maintain documented dr processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Risk,How do you risk control requirement 13?,"We maintain documented risk processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Change,What is your approach to change control requirement 14?,"We maintain documented change processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Vendor,Describe how you vendor control requirement 15?,"We maintain documented vendor processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Contracts,Can you explain how you contracts control requirement 16?,"Customer contracts include confidentiality, data protection, security obligations, breach notification commitments, and applicable service level agreements."
Logging,How do you logging control requirement 17?,"We maintain documented logging processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Monitoring,What is your approach to monitoring control requirement 18?,"We maintain documented monitoring processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Physical,Describe how you physical control requirement 19?,"Physical access to facilities is restricted using badge access, visitor management, CCTV, environmental monitoring, and periodic access reviews."
Privacy,Can you explain how you privacy control requirement 20?,"We maintain documented privacy processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Governance,How do you governance control requirement 21?,"We maintain documented governance processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
IAM,What is your approach to iam control requirement 22?,"We maintain documented iam processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Cloud Security,Describe how you cloud security control requirement 23?,"Cloud resources are protected using least privilege IAM, network segmentation, secure configuration baselines, continuous monitoring, vulnerability management, and infrastructure-as-code reviews."
AWS Controls,Can you explain how you aws controls control requirement 24?,"AWS security services such as IAM, KMS, CloudTrail, Config, GuardDuty, Security Hub, WAF, Shield, and VPC controls are used where appropriate to protect workloads and monitor compliance."
Category,How do you encryption control requirement 25?,Sensitive data is encrypted at rest using AES-256 and in transit using TLS 1.2 or higher. Encryption keys are managed through a centralized KMS with strict access controls and auditing.
BYOK,What is your approach to byok control requirement 26?,"Customers may use Customer Managed Keys (CMKs) through cloud KMS where supported. Data encryption keys are wrapped with the customer-managed key, and key rotation follows the cloud provider's versioning model."
Category,Describe how you tenant isolation control requirement 27?,"Customer data is logically segregated using tenant identifiers enforced at the application, API, and database layers. Cross-tenant access is prevented through authorization checks. Dedicated physical environments can be provided for customers with strict isolation requirements, subject to commercial agreement."
Web Security,Can you explain how you web security control requirement 28?,"We maintain documented web security processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
API Security,How do you api security control requirement 29?,"We maintain documented api security processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Network Security,What is your approach to network security control requirement 30?,"We maintain documented network security processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
BCP,Describe how you bcp control requirement 31?,"We maintain documented bcp processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
DR,Can you explain how you dr control requirement 32?,"We maintain documented dr processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Risk,How do you risk control requirement 33?,"We maintain documented risk processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Change,What is your approach to change control requirement 34?,"We maintain documented change processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Vendor,Describe how you vendor control requirement 35?,"We maintain documented vendor processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
